terrain_environmental_factors,material_labour_costs,regulatory_permitting_timeline,historical_delay_patterns,weather_seasonal_data,vendor_performance_structured,vendor_performance_semi_structured,vendor_performance_non_structured,material_cost_escalation_reason,cost_escalation_percentage,demand_supply_scenario,supply_delay_days,skilled_manpower_availability,equipment_availability,project_complexity,transmission_voltage_level,line_length_km,environmental_clearance_status,land_acquisition_percentage,time_overrun_percentage,cost_overrun_percentage,project_hotspots
Urban,73.37755527308543,510,22.830874122453277,Summer,3.300000000000002,"{""delivery_time"": 1.77, ""quality"": 2.9, ""communication"": 2.45, ""technical_expertise"": 2.43}",Outstanding technical expertise and support,High,1.3,Surplus,4.644625303209232,0.41340807305611443,0.8646177547341805,Medium,400kV,45.77635513589014,Obtained,99.45078989182261,16.28371711414044,26.227076456370373,Cost_Critical|Resource_Risk
Forest,66.39414413430833,390,1.619832886872743,Monsoon,3.500000000000002,"{""delivery_time"": 3.12, ""quality"": 3.34, ""communication"": 4.19, ""technical_expertise"": 2.36}",Good quality but delayed deliveries,Low,1.05,Critical_Shortage,36.12475422219577,0.5029077985888133,0.8452763201998224,High,132kV,93.2161932442864,Under_Review,60.60090696951499,11.675065560063892,26.24506556578072,Cost_Critical|Environmental_Risk|Supply_Chain_Risk|Resource_Risk|Land_Acquisition_Risk|Weather_Risk
Desert,75.70315558110283,180,30.04654131073744,Monsoon,2.5000000000000013,"{""delivery_time"": 4.22, ""quality"": 2.35, ""communication"": 1.22, ""technical_expertise"": 3.22}",Good quality but delayed deliveries,Low,1.05,Surplus,0.0,0.7389095025997447,0.5569809906790761,High,132kV,54.19685044375987,Obtained,80.33007878611693,4.974061356190765,10.755633149882042,Resource_Risk|Weather_Risk
Urban,40.103402771503966,510,21.36453354418819,Winter,2.200000000000001,"{""delivery_time"": 3.35, ""quality"": 4.74, ""communication"": 3.9, ""technical_expertise"": 4.67}",Average performance with communication issues,Medium,1.15,Surplus,4.8308565297382735,0.8220045727113594,0.8284466173273424,High,400kV,24.900096392636073,Pending,80.64451400327258,16.290650121139073,10.574670583693088,Vendor_Risk
Urban,43.91939746203889,420,31.960638981377706,Summer,2.4000000000000012,"{""delivery_time"": 4.63, ""quality"": 3.42, ""communication"": 3.11, ""technical_expertise"": 3.23}",Poor quality control and frequent delays,Medium,1.15,Surplus,1.9037792287396635,0.521487138484828,0.6399937747270487,Low,400kV,105.57313489033152,Obtained,70.52646100583095,9.628396313834328,8.480770620029812,Vendor_Risk|Resource_Risk|Land_Acquisition_Risk
Urban,85.53648063999162,510,37.13291749061294,Monsoon,3.6000000000000023,"{""delivery_time"": 4.91, ""quality"": 4.09, ""communication"": 1.43, ""technical_expertise"": 4.11}",Good quality but delayed deliveries,Critical,1.5,Critical_Shortage,42.72836862793331,0.8009556623249048,0.5144006852846668,Medium,400kV,108.4709628767179,Obtained,86.52115521774644,17.553380257747687,19.989446275928806,Supply_Chain_Risk|Resource_Risk|Weather_Risk
Rural,49.406672692150174,240,7.130198598860851,Summer,1.3000000000000003,"{""delivery_time"": 1.68, ""quality"": 2.79, ""communication"": 1.84, ""technical_expertise"": 3.76}",Average performance with communication issues,Medium,1.15,Balanced,5.43638734476108,0.5094857986595376,0.707415335944477,Medium,765kV,104.32415398357486,Obtained,97.79763625708054,14.170301677669752,14.063835658370706,Vendor_Risk|Resource_Risk
Rural,60.22251046058936,330,37.17902778946189,Winter,2.5000000000000013,"{""delivery_time"": 4.51, ""quality"": 2.16, ""communication"": 1.33, ""technical_expertise"": 2.19}",Excellent performance with timely delivery,Low,1.05,Balanced,0.0,0.7680744559787542,0.7167715514019005,Very_High,400kV,38.92263512437085,Obtained,78.00855723826308,17.3212784858599,20.81086934939401,Land_Acquisition_Risk
Rural,50.42477564195692,600,25.0777538106486,Monsoon,3.9000000000000026,"{""delivery_time"": 3.69, ""quality"": 2.32, ""communication"": 2.11, ""technical_expertise"": 1.74}",Outstanding technical expertise and support,High,1.3,Critical_Shortage,40.88489681774243,0.6471758079374793,0.7335870666762232,High,765kV,87.9255577884567,Obtained,89.97678021604762,17.13529210968053,28.583396107612472,Cost_Critical|Supply_Chain_Risk|Weather_Risk
Rural,50.446342092436176,30,41.23409409631927,Spring,3.9000000000000026,"{""delivery_time"": 2.99, ""quality"": 2.1, ""communication"": 3.92, ""technical_expertise"": 1.31}",Poor quality control and frequent delays,High,1.3,Balanced,2.116050182683739,0.79227970560017,0.8524120826953581,Medium,220kV,105.90761679065498,Under_Review,85.84281037085833,1.1974451406741178,10.369204479612995,Low_Risk
Mountainous,96.11138563445996,210,22.53822125202558,Spring,4.5000000000000036,"{""delivery_time"": 3.66, ""quality"": 1.95, ""communication"": 2.96, ""technical_expertise"": 2.14}",Average performance with communication issues,Medium,1.15,Deficit,16.47712063500381,0.9970316514875484,0.6544219045712296,Low,220kV,118.32560782334437,Obtained,78.91767454166859,7.305523511132934,22.633148769083036,Supply_Chain_Risk|Resource_Risk|Land_Acquisition_Risk
Urban,54.93712779976121,630,19.355093289622946,Spring,1.2000000000000002,"{""delivery_time"": 3.89, ""quality"": 4.78, ""communication"": 4.67, ""technical_expertise"": 3.33}",Excellent performance with timely delivery,Medium,1.15,Balanced,5.928583446844823,0.9626901791395371,0.6576402565519612,Medium,132kV,106.99031516806622,Obtained,61.99249199212819,15.736699447013276,25.351649993846696,Cost_Critical|Vendor_Risk|Resource_Risk|Land_Acquisition_Risk
Rural,51.44181165411475,630,25.324648488267417,Monsoon,3.100000000000002,"{""delivery_time"": 2.85, ""quality"": 4.27, ""communication"": 3.73, ""technical_expertise"": 1.73}",Outstanding technical expertise and support,Low,1.05,Deficit,15.228146649939319,0.4025690547016622,0.5302761281206303,Low,132kV,118.77969435275583,Obtained,89.66999219829101,15.840737610266233,4.650297507939813,Supply_Chain_Risk|Resource_Risk|Weather_Risk
Rural,43.06587066942436,510,26.222328476558236,Spring,3.100000000000002,"{""delivery_time"": 4.28, ""quality"": 2.72, ""communication"": 1.76, ""technical_expertise"": 2.13}",Excellent performance with timely delivery,High,1.3,Deficit,14.150900139114006,0.9312632586173835,0.843410607996148,High,765kV,122.35829445272049,Obtained,74.53005788485852,6.620104097292292,21.086410001969487,Supply_Chain_Risk|Land_Acquisition_Risk
Rural,43.482556588515266,300,17.046582382099174,Spring,2.100000000000001,"{""delivery_time"": 2.07, ""quality"": 3.08, ""communication"": 1.94, ""technical_expertise"": 1.49}",Average performance with communication issues,Critical,1.5,Deficit,6.739279340555916,0.43989447710485996,0.783913045699792,High,132kV,88.67027615775146,Obtained,68.97978753609684,8.98824294906711,26.482978154617484,Cost_Critical|Supply_Chain_Risk|Vendor_Risk|Resource_Risk|Land_Acquisition_Risk
Coastal,54.43490177756449,330,19.044343228536597,Post_Monsoon,3.0000000000000018,"{""delivery_time"": 1.49, ""quality"": 3.33, ""communication"": 3.94, ""technical_expertise"": 2.29}",Good quality but delayed deliveries,Critical,1.5,Critical_Shortage,29.989480376847848,0.971827951695907,0.6747125563468941,Medium,220kV,102.44855672544853,Obtained,97.93074599152682,15.535065959336908,23.10111031871128,Supply_Chain_Risk|Resource_Risk
Urban,69.3316085468574,660,10.277493585834527,Winter,1.3000000000000003,"{""delivery_time"": 1.14, ""quality"": 1.51, ""communication"": 4.66, ""technical_expertise"": 2.97}",Outstanding technical expertise and support,Medium,1.15,Balanced,10.61066161115238,0.5690954074598108,0.8525944894586773,Medium,765kV,119.98869839174635,Pending,90.94011078188649,19.8660774308546,23.057090545734127,Vendor_Risk|Resource_Risk
Rural,42.818770675047844,270,19.784258922517665,Monsoon,4.000000000000003,"{""delivery_time"": 2.81, ""quality"": 1.15, ""communication"": 3.91, ""technical_expertise"": 3.11}",Excellent performance with timely delivery,Critical,1.5,Balanced,7.1440035888713,0.6292208982467626,0.7686788746134385,High,765kV,98.6543938393659,Under_Review,98.49074726707747,9.570126345325042,17.73765422966717,Weather_Risk
Mountainous,103.25451282540422,270,33.115720719970945,Post_Monsoon,4.000000000000003,"{""delivery_time"": 1.81, ""quality"": 1.44, ""communication"": 2.53, ""technical_expertise"": 4.35}",Good quality but delayed deliveries,Low,1.05,Critical_Shortage,44.54648525313232,0.45498292310543675,0.7346224729352698,Medium,400kV,126.96491185794227,Obtained,70.2486772866236,21.02201753025668,11.182004157143407,Supply_Chain_Risk|Resource_Risk|Land_Acquisition_Risk
Urban,47.55515760671968,150,23.351749913126273,Spring,3.200000000000002,"{""delivery_time"": 4.46, ""quality"": 3.41, ""communication"": 3.91, ""technical_expertise"": 1.46}",Poor quality control and frequent delays,Critical,1.5,Critical_Shortage,29.811475889827623,0.4673636549973458,0.7556622718305632,Medium,765kV,115.60737149393802,Under_Review,93.43173310311549,4.576488223504963,37.71395229304987,Cost_Critical|Supply_Chain_Risk|Resource_Risk
Mountainous,70.79538800636942,510,37.10878355256794,Monsoon,2.9000000000000017,"{""delivery_time"": 3.35, ""quality"": 3.67, ""communication"": 1.8, ""technical_expertise"": 4.52}",Average performance with communication issues,Medium,1.15,Balanced,4.846719473237811,0.8360443391375918,0.8181740626335283,Very_High,132kV,62.86420121171969,Pending,84.30885617047878,23.907431934678904,37.160642681848586,Cost_Critical|Environmental_Risk|Weather_Risk
Urban,56.42524436365359,270,22.774846388163116,Monsoon,2.4000000000000012,"{""delivery_time"": 1.78, ""quality"": 2.25, ""communication"": 3.48, ""technical_expertise"": 3.55}",Average performance with communication issues,Low,1.05,Critical_Shortage,40.815967594806885,0.966599341448975,0.8300013022872997,High,220kV,39.290003299266964,Pending,99.26014757212879,18.788930236115764,23.60283477130566,Supply_Chain_Risk|Vendor_Risk|Weather_Risk
Urban,93.2160687448978,510,7.821784027320231,Monsoon,3.200000000000002,"{""delivery_time"": 3.8, ""quality"": 1.45, ""communication"": 4.4, ""technical_expertise"": 3.13}",Outstanding technical expertise and support,High,1.3,Critical_Shortage,32.17088244823161,0.7664490969725857,0.6444789095703586,High,132kV,85.67576352291456,Obtained,97.85267782454629,17.82698291421682,20.308893336857196,Supply_Chain_Risk|Resource_Risk|Weather_Risk
Forest,66.18540205959204,630,32.167298650678994,Monsoon,3.7000000000000024,"{""delivery_time"": 2.89, ""quality"": 4.92, ""communication"": 3.96, ""technical_expertise"": 1.47}",Excellent performance with timely delivery,Low,1.05,Deficit,12.5731647794454,0.8295100093160866,0.5703716816955766,Low,220kV,43.66043378664726,Under_Review,98.91872179770809,20.023127358058943,15.180699985670493,Environmental_Risk|Supply_Chain_Risk|Resource_Risk|Weather_Risk
Forest,81.84708511503689,570,16.91652230759917,Monsoon,2.5000000000000013,"{""delivery_time"": 4.03, ""quality"": 1.38, ""communication"": 1.11, ""technical_expertise"": 2.61}",Poor quality control and frequent delays,Medium,1.15,Critical_Shortage,33.53330067680631,0.8571818467582921,0.5783170905952594,Low,400kV,87.90940362577373,Obtained,98.07070473359768,14.532696182691367,10.019920366329517,Supply_Chain_Risk|Resource_Risk|Weather_Risk
Desert,38.80323216622359,210,22.199592534837585,Monsoon,4.600000000000003,"{""delivery_time"": 4.97, ""quality"": 1.7, ""communication"": 3.69, ""technical_expertise"": 1.69}",Outstanding technical expertise and support,Medium,1.15,Deficit,12.773261025017245,0.5576885647317651,0.8196954429515009,Low,220kV,84.7409161399772,Pending,60.30643467561756,18.678623298553845,17.00266180670584,Supply_Chain_Risk|Resource_Risk|Land_Acquisition_Risk|Weather_Risk
Rural,54.00575398803888,690,39.8508645698094,Winter,3.0000000000000018,"{""delivery_time"": 3.9, ""quality"": 3.02, ""communication"": 3.72, ""technical_expertise"": 1.81}",Outstanding technical expertise and support,Critical,1.5,Surplus,2.658986992403112,0.427137778552129,0.936436642883563,Medium,400kV,130.53189330957952,Pending,89.64341640602757,14.709044277947486,22.233687908884225,Resource_Risk
Urban,82.34780051465702,270,11.069554483341834,Spring,2.4000000000000012,"{""delivery_time"": 3.98, ""quality"": 4.98, ""communication"": 3.66, ""technical_expertise"": 2.97}",Excellent performance with timely delivery,Critical,1.5,Deficit,6.098949150920362,0.40112364635150116,0.7047481391727759,High,132kV,102.67719331992427,Under_Review,70.87738244838567,13.681069668506316,25.251868729056124,Cost_Critical|Supply_Chain_Risk|Vendor_Risk|Resource_Risk|Land_Acquisition_Risk
Mountainous,76.85138975869704,210,26.97692544957262,Spring,2.6000000000000014,"{""delivery_time"": 4.69, ""quality"": 1.06, ""communication"": 3.92, ""technical_expertise"": 4.55}",Poor quality control and frequent delays,High,1.3,Deficit,23.21362953698983,0.6103895697724112,0.5847600801647312,Medium,400kV,119.22773229004841,Obtained,88.20108382210113,10.269316509463259,23.11588868301768,Supply_Chain_Risk|Resource_Risk
Rural,65.98220562598027,390,24.513779799570496,Spring,4.600000000000003,"{""delivery_time"": 1.25, ""quality"": 2.8, ""communication"": 1.82, ""technical_expertise"": 3.27}",Excellent performance with timely delivery,High,1.3,Critical_Shortage,30.20168336722278,0.5448785369195297,0.8783012491469273,High,765kV,67.86417911429297,Under_Review,99.22444805015635,8.512628466510558,12.172417404810536,Supply_Chain_Risk|Resource_Risk
Urban,54.91287522304275,330,33.41110858524524,Summer,2.200000000000001,"{""delivery_time"": 3.6, ""quality"": 2.21, ""communication"": 2.84, ""technical_expertise"": 2.12}",Average performance with communication issues,Medium,1.15,Balanced,0.0,0.4373906350295114,0.9162447372097242,Medium,765kV,138.5383896000671,Under_Review,61.57437562795035,14.804754115783881,13.927094355786302,Vendor_Risk|Resource_Risk|Land_Acquisition_Risk
Rural,71.1402116027837,420,35.26184038578427,Monsoon,2.8000000000000016,"{""delivery_time"": 2.48, ""quality"": 1.64, ""communication"": 4.54, ""technical_expertise"": 1.04}",Good quality but delayed deliveries,Medium,1.15,Surplus,0.0,0.5077169754962001,0.9402912215604833,Medium,220kV,116.27768336428534,Pending,82.67951329757402,17.76844949066374,9.521357310991108,Resource_Risk|Weather_Risk
Urban,109.82851341057538,570,28.16606805098671,Spring,3.9000000000000026,"{""delivery_time"": 4.53, ""quality"": 3.29, ""communication"": 2.33, ""technical_expertise"": 3.89}",Average performance with communication issues,Medium,1.15,Surplus,0.0,0.4746993389607687,0.8034157144568665,Very_High,132kV,99.9603379829185,Under_Review,89.39812632467077,16.017889260539683,15.196024913847838,Resource_Risk
Forest,55.696776991756394,330,20.675504241035203,Winter,2.7000000000000015,"{""delivery_time"": 3.03, ""quality"": 3.0, ""communication"": 1.44, ""technical_expertise"": 2.56}",Average performance with communication issues,High,1.3,Surplus,0.0,0.9489270283704222,0.9303642796940423,Medium,132kV,21.770420781790783,Pending,70.13435128859227,24.07901232316824,18.622694931520137,Environmental_Risk|Land_Acquisition_Risk
Rural,43.31746217898842,390,30.680470048311523,Summer,2.300000000000001,"{""delivery_time"": 1.96, ""quality"": 1.06, ""communication"": 2.44, ""technical_expertise"": 1.36}",Outstanding technical expertise and support,Medium,1.15,Balanced,6.562882876677821,0.48416032807550136,0.5077074792242038,Medium,220kV,126.25589216018378,Obtained,69.0048774826857,14.63761850983189,9.557581287395427,Vendor_Risk|Resource_Risk|Land_Acquisition_Risk
Mountainous,107.70115073514827,420,41.02787076573475,Spring,4.5000000000000036,"{""delivery_time"": 2.03, ""quality"": 1.37, ""communication"": 1.4, ""technical_expertise"": 1.8}",Average performance with communication issues,High,1.3,Surplus,3.224206447771127,0.7225890783926074,0.5536179008847617,Medium,765kV,147.06672699515147,Under_Review,62.41382021607524,11.713980135732253,29.693814653702944,Cost_Critical|Environmental_Risk|Resource_Risk|Land_Acquisition_Risk
Rural,73.69358218596068,390,24.67252072432359,Winter,4.5000000000000036,"{""delivery_time"": 5.0, ""quality"": 1.01, ""communication"": 3.55, ""technical_expertise"": 1.56}",Poor quality control and frequent delays,Medium,1.15,Surplus,8.433256768339486,0.7558635730672987,0.5462880335260494,Low,400kV,85.39501781061115,Under_Review,63.75679428672302,16.51776569721753,5.531651344032848,Resource_Risk|Land_Acquisition_Risk
Rural,42.15709959270097,30,21.79292662692368,Spring,2.9000000000000017,"{""delivery_time"": 4.68, ""quality"": 1.37, ""communication"": 4.82, ""technical_expertise"": 3.44}",Average performance with communication issues,Low,1.05,Balanced,1.5492958122555267,0.7260936746251803,0.8563023421273666,Medium,220kV,86.11120651683274,Obtained,86.26999643393447,8.168063581879839,0.0,Low_Risk
Rural,43.69719774356214,240,29.658043092015884,Monsoon,2.8000000000000016,"{""delivery_time"": 1.01, ""quality"": 4.58, ""communication"": 3.09, ""technical_expertise"": 2.05}",Poor quality control and frequent delays,Low,1.05,Surplus,3.871455290821799,0.4594338605295928,0.5347908917717895,Medium,400kV,66.9163012538111,Under_Review,80.20842476127804,13.2033313538964,13.885895531439655,Resource_Risk|Weather_Risk
Urban,59.505200127220114,360,25.46472424443534,Winter,1.6000000000000005,"{""delivery_time"": 4.07, ""quality"": 4.71, ""communication"": 2.93, ""technical_expertise"": 2.26}",Excellent performance with timely delivery,Medium,1.15,Critical_Shortage,38.54468225534359,0.5912790170503307,0.7481821862331535,High,400kV,27.889261007780007,Obtained,61.20288909927784,14.796686495783383,26.796633903907285,Cost_Critical|Supply_Chain_Risk|Vendor_Risk|Resource_Risk|Land_Acquisition_Risk
Forest,37.29155291810731,570,8.94748691298641,Summer,1.3000000000000003,"{""delivery_time"": 4.16, ""quality"": 3.73, ""communication"": 4.56, ""technical_expertise"": 3.77}",Outstanding technical expertise and support,Low,1.05,Critical_Shortage,21.796071822122975,0.43076219947789196,0.7363534493181445,High,132kV,65.32671664481349,Pending,98.78647035011063,15.639663873103235,30.091285098030497,Cost_Critical|Environmental_Risk|Supply_Chain_Risk|Vendor_Risk|Resource_Risk
Coastal,43.46426496328443,360,27.871969604769777,Spring,4.3000000000000025,"{""delivery_time"": 1.97, ""quality"": 4.73, ""communication"": 1.42, ""technical_expertise"": 2.07}",Poor quality control and frequent delays,High,1.3,Deficit,10.834027987320633,0.6374019484577896,0.6553517617791205,Medium,765kV,143.0796824600373,Pending,86.2418347795522,9.726986240287662,16.500939938001547,Supply_Chain_Risk|Resource_Risk
Forest,43.67236062339873,240,8.838851094834833,Monsoon,1.1,"{""delivery_time"": 3.08, ""quality"": 3.26, ""communication"": 1.06, ""technical_expertise"": 4.12}",Average performance with communication issues,Critical,1.5,Deficit,8.565097178596194,0.5131593587629553,0.9352025849710499,Low,400kV,122.76539768447378,Under_Review,80.61874276064033,10.581701563111093,16.008172540425367,Environmental_Risk|Supply_Chain_Risk|Vendor_Risk|Resource_Risk|Weather_Risk
Forest,48.10379565429759,240,29.493767756901345,Spring,1.4000000000000004,"{""delivery_time"": 2.45, ""quality"": 2.63, ""communication"": 4.24, ""technical_expertise"": 2.52}",Outstanding technical expertise and support,Low,1.05,Deficit,17.23946429278962,0.7369795199706279,0.5852166009399979,High,765kV,57.95519689541567,Pending,70.90896946505693,22.164521574960535,17.921549840341463,Environmental_Risk|Supply_Chain_Risk|Vendor_Risk|Resource_Risk|Land_Acquisition_Risk
Mountainous,74.21959003379742,630,15.434287307121192,Spring,1.9000000000000008,"{""delivery_time"": 1.19, ""quality"": 1.71, ""communication"": 4.82, ""technical_expertise"": 1.28}",Outstanding technical expertise and support,Critical,1.5,Critical_Shortage,36.68912957965994,0.8156850363094603,0.6762313921996199,Low,132kV,64.75645073967962,Pending,86.32395539230012,21.230018049223766,33.353130455008724,Cost_Critical|Environmental_Risk|Supply_Chain_Risk|Vendor_Risk|Resource_Risk
Forest,66.89152623505977,390,25.442497650236152,Summer,4.100000000000003,"{""delivery_time"": 2.42, ""quality"": 3.01, ""communication"": 2.97, ""technical_expertise"": 1.02}",Poor quality control and frequent delays,Low,1.05,Critical_Shortage,36.789638499924415,0.7192719161228238,0.8870857500114646,High,220kV,159.72787031255456,Obtained,74.5667145153085,14.781200900704073,29.6788614443606,Cost_Critical|Supply_Chain_Risk|Land_Acquisition_Risk
Urban,95.2347596098745,360,29.687126874390838,Summer,5.0000000000000036,"{""delivery_time"": 3.0, ""quality"": 2.54, ""communication"": 4.89, ""technical_expertise"": 1.64}",Poor quality control and frequent delays,High,1.3,Critical_Shortage,33.47203866242792,0.6605420179668375,0.5152111571966421,High,220kV,49.29456721155897,Pending,88.09976650649958,10.254377675509735,9.015519057160027,Supply_Chain_Risk|Resource_Risk
Urban,45.532096205593575,480,54.44684015132285,Monsoon,2.200000000000001,"{""delivery_time"": 2.42, ""quality"": 2.68, ""communication"": 2.56, ""technical_expertise"": 3.66}",Good quality but delayed deliveries,Low,1.05,Deficit,13.976217204599228,0.6324000525140154,0.8364752001231843,Low,132kV,59.96010677981393,Pending,87.30287681227057,25.123642104793426,18.35285768620128,Supply_Chain_Risk|Vendor_Risk|Weather_Risk
Urban,84.19428677029337,30,33.91299954144309,Winter,4.800000000000003,"{""delivery_time"": 1.86, ""quality"": 1.88, ""communication"": 3.92, ""technical_expertise"": 3.0}",Good quality but delayed deliveries,Low,1.05,Deficit,14.857096241944635,0.9050150608582023,0.9081988631807854,High,132kV,69.96464240428992,Pending,63.70975180496517,4.125166576017089,7.868149171509817,Supply_Chain_Risk|Land_Acquisition_Risk
Rural,46.790167336617365,390,41.377585716908015,Monsoon,1.4000000000000004,"{""delivery_time"": 2.66, ""quality"": 1.68, ""communication"": 1.75, ""technical_expertise"": 1.04}",Outstanding technical expertise and support,Medium,1.15,Deficit,12.994433643685353,0.531620839039162,0.9661339194190837,Very_High,400kV,37.4696479335473,Obtained,96.37042833243967,14.770092469766865,15.806137447379477,Supply_Chain_Risk|Vendor_Risk|Resource_Risk|Weather_Risk
Rural,49.25804435521351,210,47.4609738243271,Spring,1.9000000000000008,"{""delivery_time"": 1.37, ""quality"": 3.23, ""communication"": 4.57, ""technical_expertise"": 2.15}",Good quality but delayed deliveries,Critical,1.5,Deficit,18.885911360524112,0.8405310037173213,0.9381483202457425,High,132kV,66.18714052042345,Under_Review,79.47897006406725,17.45073531121313,24.97222716030014,Supply_Chain_Risk|Vendor_Risk|Land_Acquisition_Risk
Rural,60.122292382499054,150,30.871071003993336,Spring,1.9000000000000008,"{""delivery_time"": 2.31, ""quality"": 1.46, ""communication"": 2.55, ""technical_expertise"": 1.15}",Average performance with communication issues,Critical,1.5,Deficit,9.651681869937665,0.8544893948440714,0.6596920584168426,Medium,220kV,66.71920853844412,Obtained,75.71779755866216,0.20861784750294454,17.35575813484945,Supply_Chain_Risk|Vendor_Risk|Resource_Risk|Land_Acquisition_Risk
Desert,46.42283754719173,240,28.42827760320639,Winter,4.700000000000003,"{""delivery_time"": 4.67, ""quality"": 3.69, ""communication"": 4.96, ""technical_expertise"": 4.53}",Excellent performance with timely delivery,High,1.3,Deficit,11.090930683205883,0.6515200043624407,0.7931820706614763,Medium,765kV,53.42125435875062,Under_Review,98.21848574515114,12.9872638550812,0.0,Supply_Chain_Risk
Rural,55.736146192760756,420,12.19934669408541,Monsoon,3.6000000000000023,"{""delivery_time"": 2.89, ""quality"": 3.08, ""communication"": 1.76, ""technical_expertise"": 2.85}",Outstanding technical expertise and support,High,1.3,Critical_Shortage,35.60659616128279,0.5783803595353836,0.5386467465752329,Very_High,765kV,131.47899092577683,Under_Review,77.52837124444846,11.297976344639052,21.69070642071026,Supply_Chain_Risk|Resource_Risk|Land_Acquisition_Risk|Weather_Risk
